episode_count,baker,signature,technical,showstopper,result,series
7,Simon,Guinness and Chocolate Cupcakes,9th,Two-Tiered Chocolate Courgette Cake,Safe,2
7,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,7th,Orange Blossom Celebration Cake,Safe,2
7,Yasmin,Cardamom and Pomegranate CupcakesLemon Meringue Cupcakes,5th,Three Tier Passion Cake,Safe,2
8,Ben,"Chorizo, Pepper and Gruyere Quiche",1st,Lemon Meringue Tarts,Safe,2
8,Holly,Pesto Quiche,4th,Milk Chocolate and Pistachio TartsTrifle Tarts,Safe,2
8,Ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2nd,UNKNOWN,Safe,2
8,Janet,Quiche Printanière,8th,Red Fruit TartsChocolate and Cherry Tarts,Safe,2
8,Jason,Salmon and Pak Choi Quiche,3rd,Mint Chocolate TartsBlueberry Bakewell Tarts,Star Baker,2
8,Jo,"Caramelised Onion, Gruyere and Thyme Quiche",10th,Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,Safe,2
8,Mary-Anne,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9th,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,Safe,2
8,Robert,Smoked Bacon and Kale Quiche,5th,"Chocolate, Fennel and Ginger TartAlmond, Creme Patisserie and Poached Pear Tart",Safe,2
8,Simon,Smoked Haddock and Watercress Quiche,11th,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Eliminated,2
8,Urvashi,"Crab, Coriander and Coconut Quiche",7th,Strawberry and Basil TartsElderflower and Honeycomb Tarts,Safe,2
8,Yasmin,Smoked Haddock and Watercress Quiche,6th,Chocolate and Orange Tarts with Cinnamon-Orange PastryBlueberry and Hazelnut Tarts with Hazelnut Pastry,Safe,2
9,Ben,"Walnut, Raisin and Rosemary Loaf",3rd,UNKNOWN,Safe,2
9,Holly,Picnic Loaf,6th,Stilton and Walnut Rolls,Safe,2
9,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",10th,Walnut and Raisin RollsCracked Wheat Logs,Eliminated,2
9,Janet,Zupfe Loaf with Gruyère Cheese,8th,"Apple and Walnut Granary Rolls
Red Onion Cottage Rolls",Safe,2
9,Jason,Cheese and Onion Tear and Share Loaf,7th,UNKNOWN,Safe,2
9,Jo,"Stromboli Flavoured with Mozarella, Ham, and Picante Peppers",1st,Spiced Orange RollsPumpkin Seed Rolls,Safe,2
9,Mary-Anne,Ploughman's Loaf,5th,Herb and Walnut BreadsChocolate and Chilli Buns,Safe,2
9,Robert,Rye and Coriander Seed Loaf,4th,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Safe,2
9,Urvashi,Salt and Peppercorn Loaf,9th,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Eliminated,2
9,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,2nd,Pesto BreadSweet Coconut Rolls,Star Baker,2
10,Ben,Stem Ginger Nuts,5th,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Eliminated,2
10,Holly,Strawberry and Custard Melts,3rd,"'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Star Baker,2
10,Janet,Christmas Marzipan Biscuits,4th,Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons,Safe,2
10,Jason,Lebkuchen,1st,"Mocktail Macarons(Mojito, Cranberry Cooler, and Piña Colada)",Star Baker,2
10,Jo,Lavender Biscuits,8th,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,Safe,2
10,Mary-Anne,Melting Moments,2nd,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Safe,2
10,Robert,Chocolate and Ginger Oat Biscuits,7th,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Safe,2
10,Yasmin,Chocolate Chip and Pistachio Biscotti,6th,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Safe,2
11,Holly,"Stilton, Potato and Caramelised Onion Pie",4th,Lime Meringue Pie,Safe,2
11,Janet,Chicken and Chestnut Pie,1st,Rhubarb Meringue Pie,Star Baker,2
11,Jason,Brown Down Chicken Pie,7th,Plum Meringue Pie,Eliminated,2
11,Jo,Salmon and Asparagus Pie,6th,Apple and Raspberry Meringue Pie,Safe,2
11,Mary-Anne,Chicken and Bacon Pie,2nd,Midnight Meringue Pie,Safe,2
11,Robert,Chicken and Mushroom Pie,3rd,Rhubarb & Custard Meringue Pie,Eliminated,2
11,Yasmin,Family Fish Pie,5th,Peach and Raspberry Meringue Pie,Safe,2
12,Holly,Father Christmas' Baked Cheesecake,3rd,Hansel and Gretel's Croquembouche,Safe,2
12,Janet,Rhubarb and Ginger Baked Cheesecake,5th,Orange and Nougatine Croquembouche,Safe,2
12,Jo,Rum and Raisin Baked Cheesecake,1st,Limoncello and White Chocolate Croquembouche,Star Baker,2
12,Mary-Anne,Tutti Frutti Curd Baked Cheesecake,4th,Orange and Praline Croquembouche with Cardamom Caramel,Safe,2
12,Yasmin,Baked Amaretto Cheesecake,2nd,Rose Croquembouche,Eliminated,2
13,Holly,"White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake",1st,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",Safe,2
13,Janet,Chocolate Amaretto Mousse Cake,4th,Pain Aux RaisinPlain CroissantPain Au Chocolat,Eliminated,2
13,Jo,Raspberry & Strawberry Mousse Cake,3rd,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,Safe,2
13,Mary-Anne,Chocolate and Orange Mousse Cake,2nd,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Safe,2
14,Holly,Banoffee Inspired Mille Feuille,2nd,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Runner-up,2
14,Jo,Raspberry and Blueberry Mille Feuille,1st,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",Winner,2
