series,episode,uk_airdate,viewers_7day,viewers_28day,network_rank,channels_rank,bbc_iplayer_requests,episode_count
12,5,2021-10-19,8.709999999999999,9.27,1,3,NA,109
12,6,2021-10-26,9.15,9.57,1,2,NA,110
12,7,2021-11-02,9.05,9.5,1,2,NA,111
12,8,2021-11-09,9.05,9.49,1,3,NA,112
12,9,2021-11-16,9.39,9.61,1,3,NA,113
12,10,2021-11-23,9.61,9.729999999999999,1,3,NA,114
13,1,2022-09-13,8.3,1,1,NA,NA,115
13,2,2022-09-20,7.6,1,5,NA,NA,116
13,3,2022-09-27,7.35,1,3,NA,NA,117
13,4,2022-10-04,7.76,1,3,NA,NA,118
13,5,2022-10-11,8.32,1,2,NA,NA,119
13,6,2022-10-18,7.79,1,3,NA,NA,120
13,7,2022-10-25,7.51,1,3,NA,NA,121
13,8,2022-11-01,7.41,1,4,NA,NA,122
13,9,2022-11-08,7.7,1,10,NA,NA,123
13,10,2022-11-15,8.129999999999999,1,10,NA,NA,124
14,1,2023-09-26,7.84,1,2,NA,NA,125
14,2,2023-10-03,7.54,1,2,NA,NA,126
14,3,2023-10-10,7.28,1,3,NA,NA,127
14,4,2023-10-18,7.119999999999999,1,4,NA,NA,128
14,5,2023-10-24,5.89,1,4,NA,NA,129
14,6,2023-10-31,6.319999999999999,1,3,NA,NA,130
14,7,2023-11-07,6.94,1,3,NA,NA,131
14,8,2023-11-14,6.7700000000000005,1,4,NA,NA,132
14,9,2023-11-21,6.470000000000001,1,11,NA,NA,133
14,10,2023-11-28,6.75,1,10,NA,NA,134
