Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
District of Columbia,2641475,374280,457334,2067736,292985,1870431,323839,824165,95,725875,95,634322,89.9,562387,95,1654295,N/A,911680,N/A,72800,2700,N/A,43179,744336,N/A,1275004,N/A,186,5031,114358,95,94841,95,387502,443655,3024260,767878,95,594424,95,1960715,321558,433203,809329,95,625737,94.8,2040239,308949,399993,196326,27.8,196231,29.7,190191,31.2,183937,31.8,43923,50.3,N/A,N/A
Dept of Defense,7641490,N/A,N/A,9317725,N/A,8594295,N/A,4649872,N/A,4268699,N/A,3707220,N/A,3426301,N/A,4947650,N/A,2449640,N/A,210800,33400,N/A,330298,3018219,N/A,5916516,N/A,3546,49146,480267,N/A,254614,N/A,882915,N/A,N/A,4530711,N/A,3631923,N/A,9107418,N/A,N/A,4636713,N/A,3702974,N/A,9294884,N/A,N/A,155198,N/A,155198,N/A,151909,N/A,145658,N/A,27545,N/A,N/A,N/A
Delaware,3195235,328132,414862,2143374,220112,1944051,252411,856615,88,766419,95,712172,73.1,638586,82.9,1892635,N/A,1196900,N/A,101900,3800,N/A,63541,817191,N/A,1259857,N/A,167,2618,224303,95,192896,95,700204,370663,1691440,818963,95,683493,81.4,2066193,246032,380473,851513,92.7,709875,77.2,2132713,232058,347669,186385,19.1,186347,20.3,183837,21.9,178608,23.2,93987,49.8,N/A,N/A
Florida,59423155,276673,344526,41709407,194198,38685915,224295,17666141,82.3,16154639,93.7,14876677,69.3,13655145,79.2,35161435,N/A,21746320,N/A,2463700,51700,N/A,1504267,15504147,N/A,24523500,N/A,3481,174012,4926714,95,4230936,94.1,14359030,319278,1321300,17156441,91.8,14487679,77.5,40730944,217859,317838,17619359,86.6,14855767,73,41627064,204676,292178,2178054,10.1,2177829,10.7,2158457,11.5,2120791,12.3,1241245,27.6,N/A,N/A
Federated States of Micronesia,279520,273182,418920,197465,192988,138334,207323,84542,82.6,55670,83.4,71147,69.5,49857,74.7,140580,N/A,126140,N/A,12800,N/A,N/A,13840,105439,N/A,78023,N/A,N/A,163,4224,87.8,3899,81,11341,235682,5808810,66813,84.4,59098,74.7,162998,205956,353188,80725,87,70421,75.9,192122,206981,301139,9857,9.6,9857,10.6,9616,12.2,8305,12.4,825,17.1,N/A,N/A
Georgia,27721305,261093,341667,16859411,158790,15320010,188820,7240460,68.2,6472507,79.8,6064664,57.1,5467799,67.4,16350205,N/A,10472300,N/A,863400,35400,N/A,347797,6501395,N/A,9955538,N/A,1728,52953,1488442,95,1311032,86.4,4327901,285302,1827430,6960284,77.4,5864478,65.2,16309840,181460,308422,7205856,72.3,6051150,60.7,16794223,168602,278302,950965,9,950847,9.5,934704,10.4,905587,11.2,411399,27.1,N/A,N/A
Guam,372310,220970,325037,392314,232843,335996,293334,158609,94.1,131763,95,144050,85.5,121402,95,243530,N/A,103680,N/A,24700,400,N/A,13831,124338,N/A,253286,N/A,22,837,18194,95,17039,95,57732,359455,2318100,148146,95,136032,95,372380,283575,283522,158160,95,143899,94.2,391545,256312,243721,12604,7.5,12603,8.3,12320,9.4,11644,10.2,3272,20.4,N/A,N/A
Hawaii,4479440,316373,401382,3465889,244788,3097602,277562,1291491,91.2,1125833,95,1151877,81.4,1007228,90.3,2640520,N/A,1710420,N/A,124900,3600,N/A,71603,1294501,N/A,2098298,N/A,320,1167,280368,95,257308,95,974407,362978,1668640,1216547,95,1089409,90,3308573,273185,369863,1280454,95,1146207,86.1,3445320,258919,336635,278694,19.7,278625,20.9,272784,22.5,263853,23.6,126343,47.1,N/A,N/A
Iowa,9025675,286069,371698,6044165,191570,5493010,226215,2224545,70.5,1978641,81.5,2026589,64.2,1812912,74.7,5331355,N/A,3384720,N/A,292700,16900,N/A,180785,2341553,N/A,3519069,N/A,607,2151,563115,95,531774,95,1981588,358364,1632270,2119118,79.2,1939655,72.5,5816515,217336,337247,2206612,74.6,2017392,68.2,6007520,202996,304980,568135,18,567996,19.2,558102,20.9,540560,22.3,284168,51.4,N/A,N/A
Idaho,4575200,256018,341723,2849089,159428,2605809,194628,1139850,63.8,1023321,76.4,1006895,56.3,905917,67.7,2640720,N/A,1759080,N/A,160000,15400,N/A,90369,1073933,N/A,1679037,N/A,444,5306,286737,95,262518,90.3,904386,311138,1574020,1095594,73.3,970961,64.9,2760221,184580,305950,1133830,67.9,1004355,60.1,2837745,169837,273822,223476,12.5,223475,13.4,219902,14.7,213227,15.9,112805,38.8,N/A,N/A
Indian Health Svc,3928895,188634,N/A,2527326,121342,2197413,N/A,1157278,55.6,994246,N/A,914433,43.9,789679,N/A,2176815,N/A,1633280,N/A,111400,7400,N/A,41987,1149738,N/A,1334421,N/A,54,1126,186441,N/A,148080,N/A,472466,N/A,N/A,1093215,N/A,869330,N/A,2404437,N/A,N/A,1149611,N/A,912394,N/A,2514172,N/A,N/A,142386,6.8,142351,N/A,137525,N/A,127700,N/A,40445,N/A,N/A,N/A
Illinois,36900115,291198,374470,26478382,208955,23523622,238723,10009915,79,8685869,88.1,9010609,71.1,7850361,79.7,23089875,N/A,12601840,N/A,1182700,25700,N/A,688145,9355343,N/A,16396358,N/A,2271,36265,2012457,95,1862455,91.2,6839941,334761,1805970,9405908,86.8,8507503,78.5,25192047,232446,340476,9912476,83.1,8957076,75.1,26290916,220471,309438,2315237,18.3,2313625,19.4,2256667,20.8,2174108,22.1,939521,46,N/A,N/A
Indiana,18095950,268796,350408,11037425,163949,10058249,194767,4323963,64.2,3861550,74.8,3879562,57.6,3499935,67.8,11302050,N/A,6155400,N/A,630500,8000,N/A,317309,3956351,N/A,6725070,N/A,523,38172,1043666,95,973746,89.7,3382464,311534,1666690,4133260,72.4,3738985,65.5,10659571,186845,317192,4298956,68.1,3870892,61.3,10994785,174137,286606,640609,9.5,640597,10.1,630796,11.1,612450,11.9,320971,29.6,N/A,N/A
Kansas,8025335,275471,362635,5298512,181872,4741450,214248,2213419,76,1948312,88,1896322,65.1,1679508,75.9,4749095,N/A,2995340,N/A,261400,19500,N/A,139002,1986445,N/A,3163697,N/A,665,8703,511344,95,460752,95,1563458,328812,1687810,2100692,85.7,1810450,73.8,5070031,206797,327338,2195265,80.5,1887129,69.2,5260921,192850,294186,409063,14,408956,15,400756,16.3,386711,17.5,193667,40.7,N/A,N/A
Kentucky,11683585,261514,337208,7427562,166251,6817657,196769,3069282,68.7,2773547,80,2658502,59.5,2413227,69.6,6612385,N/A,4667500,N/A,393100,10600,N/A,241260,3024670,N/A,4158452,N/A,409,2771,748955,95,670445,89.3,2240225,298472,1556640,2953849,77.6,2569249,67.5,7198535,189128,306965,3054384,72.8,2651761,63.2,7398163,176354,278508,502976,11.3,502893,12,496575,13,484408,14,251430,33.5,N/A,N/A
Louisiana,10012170,215371,281149,6889391,148197,6378039,179100,2914586,62.7,2648407,74.4,2554239,54.9,2344385,65.8,5620590,N/A,4053880,N/A,329700,8000,N/A,201937,2799697,N/A,3883331,N/A,631,3795,686270,92.6,646421,87.2,2061793,278236,1351130,2825637,72,2491137,63.5,6728221,171493,255196,2907024,66.9,2550909,58.7,6874706,158136,230306,303472,6.5,303471,7,301072,7.7,296216,8.3,159086,21.5,N/A,N/A
Massachusetts,22759530,330207,410844,17857661,259088,15871804,286510,7326853,95,6414931,95,5788907,84,5064109,91.4,13459150,N/A,8657580,N/A,631400,11400,N/A,408851,7071005,N/A,10376223,N/A,1131,451,1539799,95,1223305,95,4488723,383871,1946370,6894500,95,5455561,90.7,16954334,281786,378270,7248184,95,5741841,87.9,17703012,270890,348264,1897958,27.5,1895834,29,1841058,30.6,1758732,31.7,701344,60,N/A,N/A
Maryland,21470910,355145,455762,14486059,239610,12770710,271083,5530038,91.5,4771388,95,4807021,79.5,4158047,88.3,13611950,N/A,7214160,N/A,616000,28800,N/A,370427,5216237,N/A,8872481,N/A,2897,24017,1053258,95,951188,95,3566612,371756,2237960,5184384,95,4522406,87.6,13741608,266161,415870,5470828,95,4772128,84,14363072,252704,377760,1317275,21.8,1315849,23.2,1281101,24.8,1226237,26,491846,51.3,N/A,N/A
Maine,4754760,353721,434078,3474745,258497,3165626,289001,1305435,95,1172777,95,1117122,83.1,1001940,91.5,2795040,N/A,1795520,N/A,158500,5700,N/A,145141,1395776,N/A,1928187,N/A,360,5281,364089,95,302503,95,1178234,413031,1666790,1243817,95,1065994,90,3338847,281774,401267,1294013,95,1110936,86.7,3450458,269425,371270,371293,27.6,371187,29,364107,30.7,353122,32.2,183857,64.5,N/A,N/A
Marshall Islands,158740,204191,333986,94349,121363,69567,146367,43310,55.7,28970,61,34694,44.6,25608,53.9,66640,N/A,78200,N/A,12800,1100,N/A,3085,65737,N/A,25522,N/A,N/A,5,1609,43.1,1442,38.6,4434,118810,4253480,34923,60.9,30002,52.3,81113,141388,276700,41335,59.7,34169,49.4,91753,132595,229400,1707,2.2,1707,2.5,1705,3,1510,3.2,129,3.5,N/A,N/A
Michigan,28443660,284811,362667,18459327,184836,16886518,215309,6922052,69.3,6225213,79.4,6213629,62.2,5598756,71.4,16415240,N/A,11039120,N/A,964600,24700,N/A,472701,7249207,N/A,10731912,N/A,1445,4062,1752222,95,1611626,91.3,5747276,325551,1611170,6631013,77.1,5966106,69.4,17834672,207500,330933,6894592,73.2,6200247,65.8,18404649,195370,301936,1610420,16.1,1610140,17.1,1580717,18.4,1534564,19.6,760376,43.1,N/A,N/A
Minnesota,17667340,313271,407412,12587570,223198,11164506,257456,4431624,78.6,3822964,88.2,4057761,72,3521418,81.2,11148020,N/A,5995920,N/A,510500,12900,N/A,361054,4439868,N/A,7778178,N/A,1076,7394,972843,95,917362,95,3580347,389007,1919570,4124536,86.3,3805654,79.6,11917308,249416,369758,4368970,82.6,4023516,76.1,12461234,235651,334102,1344784,23.8,1344342,25.4,1306972,27.4,1254012,28.9,556191,60.4,N/A,N/A
Missouri,15134485,246593,317495,10378839,169107,9473277,198733,4245844,69.2,3810306,79.9,3615042,58.9,3262880,68.4,9011025,N/A,5668460,N/A,439600,15400,N/A,253970,3741083,N/A,6380280,N/A,857,2649,1054394,95,940229,88.5,3228049,303949,1425040,4063821,77.6,3478979,66.4,10014590,191275,289062,4215940,73.1,3599592,62.4,10317068,178826,262326,817337,13.3,816991,14.2,802606,15.3,780592,16.4,397884,37.5,N/A,N/A
Northern Mariana Islands,144700,279069,401109,116213,224129,93732,259825,46502,89.7,36089,95,43853,84.6,34412,95,112080,N/A,28720,N/A,3700,200,N/A,1399,15984,N/A,98820,N/A,1,9,3288,87.6,3152,84,9821,261614,3854560,41534,95,39601,93.6,106427,251660,342161,46172,95,43783,91,115656,240439,300819,3033,5.8,3031,6.3,2915,6.9,2671,7.4,560,14.9,N/A,N/A
Mississippi,7013615,235661,307943,4262323,143216,3937704,172891,1831420,61.5,1663880,73.1,1595011,53.6,1458325,64,4017855,N/A,2755260,N/A,234300,6200,N/A,95497,1717848,N/A,2444193,N/A,243,4542,455767,93.6,418894,86.1,1317764,270759,1441080,1779775,70.6,1555246,61.7,4164921,165181,278161,1827731,65.4,1593816,57.1,4256113,152403,251144,168455,5.7,168455,6,167347,6.6,164417,7.2,94890,19.5,N/A,N/A
Montana,2626155,245716,312567,1844330,172564,1693880,201607,727937,68.1,655408,78,631036,59,572637,68.2,1471255,N/A,1042400,N/A,106500,6000,N/A,62582,765793,N/A,1013140,N/A,200,2615,204522,95,184189,89.2,639964,310005,1272130,696815,75.9,608305,66.3,1783816,194401,286199,723134,71.8,629245,62.4,1836032,182214,260629,150782,14.1,150781,15,148185,16.1,144140,17.2,77551,37.6,N/A,N/A
North Carolina,29161090,278040,356172,19279049,183819,17442886,213046,9629407,91.8,8660551,95,7016182,66.9,6324353,77.2,17391910,N/A,10778080,N/A,954800,36300,N/A,523368,7184124,N/A,11568666,N/A,1543,1348,2464315,95,1826666,95,5561756,317616,1665310,9231477,95,6745193,75.1,18531100,206233,324534,9572804,95,6989966,70.8,19170116,194063,295203,1414250,13.5,1413433,14.3,1386068,15.4,1340415,16.4,642435,36.7,N/A,N/A
North Dakota,1835230,240824,315391,1293096,169684,1169743,201024,527009,69.2,471477,81,445707,58.5,402354,69.1,1131910,N/A,647420,N/A,53600,2300,N/A,40014,458004,N/A,794572,N/A,178,328,127211,95,109657,91.5,381644,318448,1531340,501150,78.6,427583,67.1,1236876,194097,287994,522113,73.7,444244,62.7,1283505,181296,259228,105912,13.9,105910,15,103601,16.3,99990,17.2,52310,43.6,N/A,N/A
