Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
Puerto Rico,8672410,271548,330886,7730470,242054,6803932,259597,2899077,90.8,2494202,95,2679060,83.9,2313197,88.3,5407690,N/A,3046620,N/A,216500,1600,N/A,151329,2930091,N/A,4648754,N/A,79,217,650099,95,606072,89.2,2001844,294538,1276000,2714661,95,2520314,88.5,7374514,258910,304477,2892956,94,2677107,87,7720080,250961,281918,250498,7.8,250495,8.1,248422,8.7,243932,9.3,125532,18.5,N/A,N/A
Republic of Palau,51400,238714,309956,51346,238464,44666,269348,20735,95,17685,95,18483,85.8,15903,95,15800,N/A,31800,N/A,3800,N/A,N/A,2365,38590,N/A,10178,N/A,N/A,213,1880,94.4,1815,91.1,5551,278665,2580320,19226,95,17365,93.1,48440,259802,275677,20672,95,18470,90.7,51232,251470,252295,1532,7.1,1532,7.5,1486,8,1391,8.4,191,9.6,N/A,N/A
Rhode Island,3407635,321669,398616,2622988,247601,2370183,277258,1119406,95,988092,95,926581,87.5,815402,95,1996435,N/A,1316600,N/A,90600,4000,N/A,66986,1015469,N/A,1537427,N/A,412,2694,234364,95,200094,95,720748,385332,1821820,1059617,95,877467,94.6,2519686,271667,367404,1111520,95,921977,91.8,2607577,259502,339122,242585,22.9,242501,24.1,238112,25.7,230891,27,102561,54.8,N/A,N/A
South Carolina,13618645,264506,337301,8562619,166306,7887179,195347,3647230,70.8,3305034,81.9,3076813,59.8,2800180,69.4,7550605,N/A,5560740,N/A,464500,42800,N/A,233721,3349833,N/A,4975290,N/A,597,3178,991935,95,857857,91.6,2832943,302334,1453400,3517458,79.6,2979288,67.4,8316572,188159,308116,3629662,74.7,3068647,63.2,8530269,175655,280435,530233,10.3,530160,10.9,523884,11.9,512340,12.7,294268,31.4,N/A,N/A
South Dakota,2577885,291399,386166,1661156,187774,1492514,223578,738937,83.5,653984,95,584287,66,521129,78.1,1518385,N/A,962800,N/A,93500,3200,N/A,42493,629240,N/A,989222,N/A,64,137,195887,95,158836,95,521665,343492,1697420,702106,95,558291,75.6,1590025,215421,349259,733637,89.1,582997,70.8,1651868,200593,313043,133478,15.1,133474,16.2,131094,17.8,127012,19,67737,44.6,N/A,N/A
Tennessee,16603540,243127,312148,11192928,163899,10384481,195229,4391547,64.3,4003001,75.3,3837491,56.2,3517191,66.1,9891500,N/A,6166940,N/A,530100,15000,N/A,270553,4274099,N/A,6568844,N/A,1584,77848,1079405,94.4,990328,86.6,3486832,304955,1452130,4247171,72.8,3725530,63.8,10903352,186843,284523,4371778,68.1,3829245,59.6,11156184,173757,258599,631661,9.2,631657,9.8,624279,10.7,609438,11.5,319643,28,N/A,N/A
Texas,77810155,268349,360298,51699236,178299,45236810,209468,22088371,76.2,18849210,87.3,18298688,63.1,15935564,73.8,47420615,N/A,27634640,N/A,2662800,92100,N/A,1547886,18746678,N/A,31349126,N/A,5290,50256,3742191,95,3316490,88.8,11250031,301268,2083700,20777330,86.2,17449734,72.4,49196999,204127,322849,21949780,81.3,18268982,67.7,51447810,190512,288133,2758825,9.5,2758817,10.2,2701824,11.2,2606580,12.1,1117572,29.9,N/A,N/A
Utah,8135770,253770,357652,6045916,188584,5203718,228758,2405191,75,2017017,88.7,2131824,66.5,1810140,79.6,5270710,N/A,2600960,N/A,257000,7100,N/A,187903,2040932,N/A,3814756,N/A,824,1501,386996,95,353033,95,1270754,347322,2223670,2239751,86.4,2008595,77.5,5706960,220154,313849,2380522,80.5,2123226,71.8,5999290,202805,275029,401579,12.5,401466,13.6,389140,15,368731,16.2,148656,40.6,N/A,N/A
Virginia,25835205,302679,387063,19320079,226349,17119337,256482,7745978,90.7,6745551,95,6522756,76.4,5681498,85.1,15986605,N/A,9019700,N/A,802700,26200,N/A,509152,6855608,N/A,11938212,N/A,2071,15036,1557445,95,1325372,95,4864841,357997,1901180,7290667,95,6160048,84.3,18353381,251176,353569,7671942,95,6481478,80.7,19169804,238726,321732,1613537,18.9,1612456,20.1,1571260,21.5,1509267,22.6,639396,47.1,N/A,N/A
Veterans Health,9679860,N/A,N/A,8539986,N/A,8536341,N/A,3695170,N/A,3693097,N/A,3046175,N/A,3044676,N/A,4268880,N/A,4774180,N/A,626900,9900,N/A,257342,4413906,N/A,3868266,N/A,434,38,1795898,N/A,1565378,N/A,4676021,N/A,N/A,3695039,N/A,3046096,N/A,8539773,N/A,N/A,3695056,N/A,3046102,N/A,8539796,N/A,N/A,731037,N/A,731037,N/A,731037,N/A,731013,N/A,481089,N/A,N/A,N/A
Virgin Islands,168920,158924,207246,154236,145109,144174,176885,74652,70.2,69263,85,58823,55.3,54570,67,118780,N/A,46740,N/A,3200,200,N/A,2352,47537,N/A,104340,N/A,7,N/A,21269,95,16207,79.1,45628,222815,824885,73037,81.7,57656,64.5,151447,169356,188896,74552,74.8,58791,59,154098,154680,169558,3314,3.1,3314,3.3,3302,3.7,3275,4,1894,9.2,N/A,N/A
Vermont,2465560,395129,483458,1726920,276755,1535739,301135,618477,95,540076,95,532885,85.4,465214,91.2,1474740,N/A,914520,N/A,74200,2100,N/A,54341,650313,N/A,1021214,N/A,142,910,150799,95,133276,95,532270,425683,1971830,578392,95,499502,90.7,1635544,296859,447511,609936,95,527860,88.7,1708794,287218,414417,189474,30.4,189288,31.8,183915,33.4,176014,34.5,78381,62.7,N/A,N/A
Washington,24405685,320499,410053,17382624,228271,15502656,260469,6472841,85,5667445,95,5775894,75.8,5074581,85.3,14926285,N/A,8673200,N/A,776400,29800,N/A,494245,6377269,N/A,10489851,N/A,3045,18214,1293986,95,1184678,95,4461387,368794,2017460,6093101,93.7,5462402,84,16530928,254286,375419,6394710,89.3,5728917,80,17223700,240608,340937,1753276,23,1750351,24.5,1695557,26.1,1628847,27.4,649168,53.7,N/A,N/A
Wisconsin,15850195,272226,347910,12244142,210292,11102772,243704,4364841,75,3866981,84.9,3961839,68,3527882,77.4,9555495,N/A,5819100,N/A,456600,19000,N/A,338459,4618220,N/A,7281788,N/A,1249,4426,1078675,95,1006809,95,3886111,382024,1558150,4141437,82.8,3776940,75.5,11757708,235164,317017,4323972,78.7,3940361,71.7,12162449,221460,288608,1179887,20.3,1179401,21.5,1155440,23.1,1116928,24.5,548195,53.9,N/A,N/A
West Virginia,5304895,296008,370304,3072987,171470,2873274,200566,1207268,67.4,1110023,77.5,1068238,59.6,986420,68.9,2993275,N/A,2132020,N/A,171600,8000,N/A,68516,1324702,N/A,1677228,N/A,226,2315,352829,95,321253,87.5,1074292,292714,1445430,1173397,75.3,1042168,66.9,3008583,193126,340530,1203526,70.8,1066190,62.7,3066135,180454,312214,190507,10.6,190505,11.2,188981,12.1,185745,13,106032,28.9,N/A,N/A
Wyoming,1246855,215436,280176,847156,146375,784572,176298,351894,60.8,321509,72.2,306545,53,280991,63.1,668015,N/A,527040,N/A,49300,2500,N/A,29183,369809,N/A,446898,N/A,177,1089,97057,95,86906,87.6,281932,284266,1257180,340818,69.5,297768,60.7,825194,168160,254086,350619,64.5,305892,56.2,844645,155315,229274,60874,10.5,60873,11.2,60026,12.2,58554,13.2,32675,32.9,N/A,N/A
